        CG/HBCS        CG/ScaleStar
1        43.98        9.09
2        47.28        0.91
3        41.34        13.89
4        33.21        21.88
5        0.57        27.71
6        -1.48        31.37
7        1.02        34.38
8        3.40        36.54
9        4.52        38.15
10        3.40        39.11
11        5.21        40.57
12        5.60        41.65
13        5.24        42.25
14        6.02        43.02
15        6.25        43.73
16        6.57        44.18
17        7.03        44.55
18        6.87        44.89
19        7.23        45.17
20        0.00        45.37
