        CG/HBCS        CG/ScaleStar
1        36.64        4.55
2        48.64        21.46
3        40.95        2.40
4        32.91        4.85
5        10.01        10.64
6        -0.59        17.77
7        -0.79        20.72
8        1.74        24.90
9        3.44        28.09
10        2.19        29.98
11        3.69        32.18
12        4.76        33.42
13        6.92        35.50
14        7.15        36.18
15        9.17        37.63
16        9.98        38.18
17        10.95        38.99
18        10.85        39.30
19        11.34        40.08
20        0.00        40.07
