        CG/HBCS        CG/ScaleStar
1        32.28        1.90
2        41.65        12.20
3        31.07        0.62
4        26.99        4.08
5        3.53        8.06
6        -0.47        14.09
7        2.55        19.65
8        3.63        21.76
9        6.72        26.02
10        4.25        26.46
11        6.80        29.81
12        7.20        30.37
13        9.54        32.51
14        10.14        33.04
15        10.83        34.48
16        11.06        34.80
17        12.54        36.01
18        12.55        36.10
19        12.71        37.08
20        0.00        37.07
