        CG/HBCS        CG/ScaleStar
1        32.82        1.36
2        47.74        15.29
3        45.63        4.18
4        41.48        3.10
5        14.51        7.90
6        6.03        14.75
7        0.41        19.80
8        1.80        22.83
9        4.40        26.04
10        4.53        27.47
11        3.49        28.71
12        7.04        32.04
13        7.15        33.12
14        7.28        33.83
15        8.18        34.85
16        8.91        35.81
17        9.84        36.64
18        10.35        37.20
19        9.83        38.08
20        0.00        38.06
