        CG/HBCS        CG/ScaleStar
1        32.97        4.18
2        45.13        10.26
3        33.61        1.80
4        26.82        5.48
5        6.19        11.09
6        0.05        17.74
7        1.95        22.97
8        1.36        24.44
9        3.39        28.20
10        6.05        30.79
11        7.04        32.49
12        7.58        33.69
13        9.55        35.56
14        9.46        35.88
15        10.13        37.57
16        10.24        38.06
17        12.12        39.38
18        11.08        39.40
19        11.68        40.25
20        0.00        40.24
