        CG/HBCS        CG/ScaleStar
1        32.97        2.91
2        46.95        16.46
3        38.75        -0.19
4        31.10        5.87
5        5.86        10.91
6        0.98        17.45
7        2.96        21.95
8        2.86        24.76
9        4.37        28.02
10        4.82        29.95
11        6.62        31.79
12        8.36        33.28
13        8.61        34.58
14        8.99        35.57
15        10.53        37.59
16        10.00        37.51
17        11.48        39.06
18        10.12        38.95
19        11.30        39.84
20        0.00        39.82
