        CG/HBCS        CG/ScaleStar
1        28.25        0.99
2        42.82        14.57
3        32.37        0.88
4        33.03        4.98
5        12.32        11.14
6        3.32        15.15
7        2.51        20.33
8        3.85        22.87
9        4.63        25.25
10        7.28        27.41
11        8.16        29.71
12        9.09        31.16
13        8.83        32.23
14        9.46        33.45
15        9.21        34.43
16        10.76        35.57
17        11.10        36.26
18        11.23        36.72
19        12.59        37.71
20        0.00        37.70
