        CG/HBCS        CG/ScaleStar
1        22.00        -16.80
2        31.57        -4.11
3        37.43        -2.43
4        17.43        -13.74
5        7.07        8.71
6        -15.22        3.82
7        -2.16        18.92
8        -0.55        22.12
9        -11.30        15.54
10        2.57        27.57
11        -8.44        20.01
12        6.39        31.77
13        -6.67        22.87
14        7.21        34.29
15        -8.12        24.47
16        -6.80        25.47
17        7.54        36.66
18        -7.18        27.05
19        9.17        38.24
20        10.24        39.08
