        CG/HBCS        CG/ScaleStar
1        34.30        5.49
2        47.17        16.29
3        41.61        2.31
4        29.58        10.11
5        12.73        14.86
6        0.72        20.12
7        3.39        25.98
8        3.53        27.39
9        3.98        30.56
10        4.70        32.90
11        5.22        34.43
12        6.26        35.95
13        6.86        37.24
14        7.72        37.92
15        8.17        39.24
16        8.68        39.58
17        9.70        40.62
18        9.72        41.07
19        10.15        41.78
20        0.00        41.90
