        CG/HBCS        CG/ScaleStar
1        35.91        1.44
2        46.65        14.55
3        38.98        -1.88
4        30.31        5.12
5        15.52        9.65
6        1.64        16.78
7        0.10        20.96
8        2.31        24.25
9        3.89        27.02
10        4.97        28.95
11        5.91        30.97
12        6.95        32.69
13        8.08        34.48
14        8.04        34.79
15        8.31        36.02
16        9.35        36.66
17        9.95        37.35
18        10.31        38.28
19        11.16        39.32
20        0.00        39.31
