        CG/HBCS        CG/ScaleStar
1        43.45        8.09
2        48.31        -0.04
3        34.34        11.43
4        22.58        20.34
5        -0.93        25.77
6        0.44        29.53
7        2.15        32.24
8        3.38        34.38
9        4.28        36.18
10        4.69        37.42
11        5.55        38.63
12        5.79        39.44
13        6.24        40.15
14        6.89        40.86
15        7.07        41.59
16        7.26        42.06
17        7.57        42.45
18        7.65        42.79
19        7.95        43.11
20        0.00        43.30
