        CG/HBCS        CG/ScaleStar
1        38.06        1.46
2        44.98        -0.45
3        36.99        9.36
4        17.84        18.67
5        -1.21        23.60
6        0.22        27.44
7        3.20        30.63
8        3.18        32.62
9        4.22        34.20
10        5.40        35.86
11        5.25        36.56
12        6.88        37.84
13        6.69        38.55
14        6.75        39.25
15        7.85        40.18
16        8.30        40.63
17        8.07        41.01
18        8.02        41.38
19        8.07        41.70
20        0.00        41.88
