        CG/HBCS        CG/ScaleStar
1        43.43        10.55
2        44.03        1.14
3        41.42        18.03
4        19.41        25.43
5        1.39        29.61
6        0.15        32.89
7        1.22        35.77
8        2.85        37.85
9        5.10        39.85
10        5.93        40.94
11        5.84        41.71
12        5.67        42.39
13        6.50        43.45
14        6.09        43.91
15        7.06        44.69
16        7.40        45.12
17        7.78        45.48
18        7.73        45.80
19        8.01        46.10
20        0.00        46.35
