        CG/HBCS        CG/ScaleStar
1        45.98        8.93
2        49.15        -0.83
3        34.47        13.87
4        17.73        20.59
5        -1.40        26.25
6        0.26        29.74
7        1.33        32.61
8        3.22        35.01
9        3.84        36.45
10        4.33        37.99
11        4.90        39.00
12        5.36        39.78
13        6.07        40.60
14        6.55        41.30
15        7.69        42.14
16        8.02        42.56
17        7.64        42.96
18        7.95        43.30
19        8.02        43.61
20        0.00        43.82
