        CG/HBCS        CG/ScaleStar
1        39.61        -0.38
2        43.11        -2.14
3        30.57        14.91
4        11.53        22.66
5        -0.57        26.90
6        0.63        30.52
7        2.76        33.60
8        3.65        35.62
9        4.42        37.50
10        5.55        38.74
11        6.19        39.60
12        6.99        40.52
13        6.68        41.06
14        7.61        41.93
15        8.29        42.79
16        8.15        43.21
17        8.27        43.57
18        7.97        43.92
19        7.93        44.23
20        0.00        44.43
