        CG/HBCS        CG/ScaleStar
1        39.75        2.60
2        47.27        0.82
3        39.82        13.83
4        22.83        22.71
5        -1.07        28.06
6        -0.10        31.42
7        1.56        34.57
8        3.12        36.60
9        4.42        38.35
10        5.36        39.50
11        5.59        40.52
12        5.38        41.41
13        5.80        42.27
14        6.37        42.77
15        6.97        43.62
16        7.58        44.22
17        7.61        44.59
18        8.01        44.93
19        7.87        45.23
20        0.00        45.43
