        CG/HBCS        CG/ScaleStar
1        39.14        0.89
2        46.20        0.90
3        36.60        14.38
4        16.36        21.27
5        -1.16        27.71
6        -1.07        30.85
7        2.35        34.04
8        2.89        36.08
9        4.91        37.83
10        5.65        38.97
11        5.51        40.33
12        5.23        40.87
13        6.60        42.17
14        6.79        42.54
15        7.51        43.36
16        7.91        43.85
17        7.99        44.21
18        8.30        44.56
19        8.27        44.86
20        0.00        45.04
