        CG/HBCS        CG/ScaleStar
1        23.81        8.82
2        28.85        0.11
3        20.33        10.22
4        31.66        10.60
5        24.85        12.21
6        1.19        0.95
7        4.69        -4.29
8        7.92        5.19
9        1.08        6.32
10        5.74        10.73
11        4.73        11.89
12        6.58        13.61
13        10.67        18.39
14        16.90        24.84
15        14.86        23.32
16        13.83        25.70
17        15.77        27.38
18        16.62        28.87
19        16.62        28.87
20        0.00        28.82
