        CG/HBCS        CG/ScaleStar
1        18.81        6.50
2        26.74        0.12
3        20.71        -0.41
4        26.81        5.94
5        31.52        6.03
6        19.77        -1.01
7        18.34        -2.01
8        2.11        2.77
9        0.60        1.60
10        -0.69        3.59
11        1.36        6.31
12        6.14        11.53
13        9.09        14.48
14        10.98        16.33
15        12.31        17.58
16        10.85        18.70
17        13.13        20.78
18        16.27        23.64
19        17.04        24.40
20        17.04        24.40
