        CG/HBCS        CG/ScaleStar
1        16.56        12.17
2        29.71        0.72
3        35.61        9.68
4        31.30        17.61
5        16.28        7.82
6        8.56        0.62
7        12.32        3.33
8        12.30        10.96
9        4.55        13.47
10        -0.38        16.00
11        0.66        19.93
12        4.48        23.00
13        7.47        25.41
14        5.67        26.58
15        7.41        27.93
16        9.39        29.47
17        12.07        31.56
18        14.11        33.15
19        14.11        33.15
20        0.00        33.09
