        CG/HBCS        CG/ScaleStar
1        31.89        12.12
2        26.02        4.83
3        33.45        12.58
4        21.55        0.65
5        10.29        -0.41
6        13.00        7.38
7        5.19        9.77
8        1.20        15.02
9        3.80        19.91
10        5.02        22.12
11        5.05        24.46
12        7.02        27.50
13        8.08        28.73
14        9.75        30.04
15        11.09        31.93
16        12.49        33.68
17        11.53        33.49
18        12.21        34.40
19        13.79        35.59
20        0.00        35.58
