        CG/HBCS        CG/ScaleStar
1        29.80        10.28
2        32.26        3.18
3        22.81        3.89
4        19.28        0.38
5        15.86        -1.09
6        18.18        2.55
7        -0.81        3.99
8        2.56        10.88
9        3.81        14.60
10        3.35        15.78
11        5.97        19.27
12        9.45        22.46
13        9.88        23.23
14        11.09        25.12
15        13.25        26.94
16        14.14        27.68
17        14.92        29.24
18        16.13        30.85
19        15.19        31.56
20        0.00        31.77
