        CG/HBCS        CG/ScaleStar
1        18.68        3.05
2        30.27        0.54
3        20.90        -0.61
4        29.55        0.17
5        28.83        -1.65
6        16.32        1.30
7        6.49        4.05
8        2.01        9.39
9        2.82        13.83
10        2.92        16.03
11        6.31        19.64
12        8.09        22.09
13        10.52        24.15
14        10.42        25.03
15        11.43        26.60
16        13.61        28.64
17        14.30        29.28
18        15.62        30.37
19        16.61        31.44
20        0.00        31.41
