Bd        CG/HBCS        CG/ScaleStar
1        32.00        -0.09
2        34.09        0.23
3        30.60        0.00
4        10.37        -0.18
5        6.41        4.57
6        0.52        10.80
7        1.83        15.98
8        4.73        19.88
9        6.32        22.63
10        7.85        25.18
11        8.46        27.00
12        9.18        28.82
13        9.65        30.20
14        10.40        31.47
15        11.20        32.59
16        11.62        33.48
17        12.15        34.38
18        12.48        35.13
19        12.76        35.83
20        0.26        36.46
