Bd        CG/HBCS        CG/ScaleStar
1        14.09        0.54
2        22.99        0.13
3        17.20        0.33
4        11.00        0.76
5        13.21        0.03
6        13.21        0.16
7        6.09        -0.02
8        1.19        1.11
9        1.71        5.17
10        4.36        8.81
11        7.27        12.54
12        9.03        15.09
13        10.45        17.26
14        11.92        19.52
15        13.16        21.30
16        13.80        22.75
17        14.48        24.24
18        14.88        25.55
19        15.28        26.68
20        0.97        27.79
