Bd        CG/HBCS        CG/ScaleStar
1        11.76        7.72
2        17.10        1.71
3        24.07        2.96
4        22.83        6.22
5        22.01        9.76
6        13.09        6.08
7        11.16        0.52
8        6.72        2.56
9        6.47        5.42
10        7.09        5.81
11        7.95        6.04
12        6.37        3.46
13        8.03        7.49
14        9.36        11.06
15        10.23        13.76
16        8.69        12.87
17        10.84        15.67
18        12.68        18.06
19        13.46        19.17
20        0.84        19.46
