Bd        CG/HBCS        CG/ScaleStar
1        32.59        0.05
2        35.14        0.28
3        23.64        0.07
4        18.56        2.41
5        4.40        9.97
6        1.27        16.14
7        3.54        20.53
8        4.52        23.54
9        5.65        26.25
10        7.12        28.42
11        8.10        30.04
12        8.97        31.54
13        9.67        32.83
14        10.05        33.86
15        10.33        34.81
16        10.70        35.67
17        11.04        36.39
18        11.38        37.03
19        11.64        37.65
20        0.00        38.19
