Bd        CG/HBCS        CG/ScaleStar
1        30.02        -1.72
2        33.43        0.21
3        33.65        -0.53
4        19.04        0.08
5        3.01        1.46
6        0.58        7.86
7        1.25        13.42
8        3.08        17.10
9        5.76        20.55
10        7.31        22.92
11        8.98        25.27
12        9.73        26.92
13        10.62        28.63
14        10.98        29.88
15        11.36        31.14
16        11.64        32.12
17        12.26        33.08
18        12.71        33.90
19        13.14        34.66
20        0.54        35.35
