Bd        CG/HBCS        CG/ScaleStar
1        18.76        -1.38
2        22.79        0.16
3        26.91        0.37
4        28.04        0.02
5        16.21        0.11
6        1.73        0.26
7        1.48        5.82
8        3.69        10.23
9        5.99        14.58
10        7.15        17.41
11        8.17        20.31
12        8.67        22.32
13        9.84        24.26
14        11.03        25.90
15        11.92        27.19
16        12.86        28.59
17        13.41        29.62
18        14.13        30.72
19        14.55        31.58
20        0.90        32.42
