Bd        CG/HBCS        CG/ScaleStar
1        35.01        0.14
2        40.90        0.03
3        29.41        3.36
4        10.69        13.60
5        0.38        20.02
6        2.11        24.37
7        3.33        27.52
8        4.51        29.99
9        5.74        31.94
10        6.66        33.54
11        7.22        34.87
12        7.67        35.98
13        8.15        36.92
14        8.55        37.73
15        8.84        38.44
16        9.07        39.06
17        9.24        39.61
18        9.42        40.11
19        9.63        40.57
20        0.97        40.94
