Bd        CG/HBCS        CG/ScaleStar
1        10.50        0.92
2        23.82        0.01
3        19.44        0.37
4        12.41        0.69
5        9.20        1.01
6        7.47        0.03
7        3.01        0.15
8        1.73        0.38
9        1.82        0.44
10        1.86        3.00
11        3.09        6.36
12        5.49        9.40
13        8.13        12.55
14        9.51        14.70
15        10.97        16.64
16        12.22        18.32
17        13.79        20.26
18        14.68        21.63
19        15.69        22.96
20        0.35        24.33
