Bd        CG/HBCS        CG/ScaleStar
1        33.27        0.10
2        38.78        -0.06
3        31.73        -1.27
4        9.57        9.32
5        1.41        16.69
6        1.08        21.67
7        3.59        25.30
8        5.13        28.03
9        5.90        30.07
10        6.65        31.83
11        7.49        33.29
12        8.24        34.54
13        8.84        35.61
14        9.15        36.49
15        9.35        37.25
16        9.61        37.94
17        9.87        38.54
18        10.11        39.10
19        10.35        39.61
20        0.83        40.04
