Bd        CG/HBCS        CG/ScaleStar
1        32.91        0.07
2        35.26        -0.52
3        28.00        0.08
4        19.91        4.88
5        0.83        13.01
6        1.23        17.95
7        2.82        22.19
8        4.47        25.36
9        6.10        27.72
10        7.24        29.63
11        8.13        31.32
12        8.72        32.72
13        9.04        33.81
14        9.54        34.84
15        10.08        35.75
16        10.49        36.54
17        10.74        37.20
18        10.99        37.81
19        11.13        38.39
20        0.45        38.89
