Bd        CG/HBCS        CG/ScaleStar
1        33.70        0.11
2        40.23        0.02
3        31.37        1.46
4        6.62        11.50
5        1.44        18.08
6        1.54        22.90
7        3.63        26.40
8        4.80        29.07
9        5.75        31.14
10        6.78        32.80
11        7.53        34.17
12        8.06        35.30
13        8.38        36.27
14        8.73        37.12
15        9.11        37.87
16        9.38        38.51
17        9.60        39.10
18        9.77        39.62
19        9.93        40.11
20        1.60        40.51
