Bd        CG/HBCS        CG/ScaleStar
1        32.37        0.04
2        34.53        0.27
3        26.76        0.04
4        11.33        -1.08
5        10.02        7.53
6        0.50        13.98
7        2.73        18.07
8        5.09        21.86
9        6.44        24.73
10        6.99        26.78
11        7.90        28.75
12        8.89        30.28
13        9.75        31.60
14        10.47        32.80
15        10.86        33.74
16        11.26        34.66
17        11.54        35.49
18        11.71        36.15
19        11.96        36.82
20        1.96        37.40
