Bd        CG/HBCS        CG/ScaleStar
1        40.02        0.17
2        40.96        0.04
3        29.52        8.63
4        8.09        17.67
5        0.12        23.44
6        1.82        27.44
7        3.63        30.35
8        4.63        32.54
9        5.46        34.24
10        6.25        35.63
11        6.81        36.75
12        7.15        37.69
13        7.46        38.50
14        7.79        39.19
15        8.04        39.80
16        8.20        40.35
17        8.39        40.83
18        8.58        41.27
19        8.70        41.66
20        1.05        41.98
