Bd        CG/HBCS        CG/ScaleStar
1        41.14        0.15
2        40.56        -0.06
3        29.90        9.92
4        3.43        19.07
5        0.29        24.73
6        2.27        28.43
7        3.55        31.13
8        4.45        33.18
9        5.41        34.81
10        6.04        36.14
11        6.51        37.22
12        6.95        38.15
13        7.36        38.96
14        7.61        39.62
15        7.81        40.20
16        7.99        40.71
17        8.14        41.16
18        8.28        41.57
19        8.39        41.95
20        1.18        42.27
