Bd        CG/HBCS        CG/ScaleStar
1        38.77        0.13
2        41.25        0.05
3        27.37        7.02
4        12.51        16.51
5        0.32        22.41
6        1.61        26.48
7        3.47        29.45
8        4.72        31.73
9        5.50        33.50
10        6.25        34.97
11        6.90        36.16
12        7.35        37.15
13        7.71        38.00
14        7.97        38.72
15        8.27        39.37
16        8.49        39.95
17        8.66        40.46
18        8.82        40.91
19        8.98        41.32
20        0.36        41.67
