Bd        CG/HBCS        CG/ScaleStar
1        37.09        0.13
2        41.21        0.05
3        26.79        5.20
4        13.59        15.10
5        0.39        21.30
6        2.02        25.54
7        3.37        28.63
8        4.86        30.98
9        5.85        32.84
10        6.46        34.35
11        7.04        35.60
12        7.60        36.64
13        7.98        37.52
14        8.30        38.29
15        8.53        38.96
16        8.77        39.54
17        8.99        40.07
18        9.16        40.53
19        9.32        40.97
20        0.19        41.32
