1	0	2.10
1	1	10.69
1	2	10.15
1	3	13.41
1	4	17.30
1	5	20.55
1	6	24.34
1	7	31.33
1	8	32.15
1	9	32.55
1	10	32.73
1	11	32.83
1	12	33.12
1	13	33.26
1	14	33.57
1	15	34.95
1	16	36.99
1	17	26.25
1	18	28.61
1	19	31.18

2	0	8.11
2	1	28.33
2	2	23.73
2	3	23.34
2	4	21.76
2	5	21.86
2	6	30.13
2	7	20.96
2	8	24.36
2	9	27.05
2	10	31.05
2	11	34.60
2	12	36.39
2	13	38.63
2	14	40.26
2	15	40.91
2	16	41.36
2	17	26.06
2	18	28.62
2	19	31.53

3	0	15.71
3	1	27.89
3	2	18.66
3	3	17.08
3	4	2.18
3	5	21.32
3	6	31.93
3	7	33.86
3	8	30.85
3	9	27.27
3	10	3.28
3	11	14.80
3	12	25.64
3	13	31.81
3	14	31.42
3	15	29.22
3	16	25.44
3	17	11.34
3	18	20.16
3	19	26.73

4	0	18.35
4	1	29.05
4	2	1.00
4	3	5.45
4	4	22.10
4	5	28.33
4	6	25.16
4	7	1.39
4	8	2.00
4	9	10.96
4	10	17.94
4	11	19.96
4	12	2.20
4	13	2.43
4	14	5.52
4	15	9.18
4	16	13.06
4	17	-2.02
4	18	2.64
4	19	3.95

5	0	17.99
5	1	24.33
5	2	6.44
5	3	13.64
5	4	20.64
5	5	4.13
5	6	1.35
5	7	2.99
5	8	6.39
5	9	-1.82
5	10	1.70
5	11	0.86
5	12	0.56
5	13	-11.36
5	14	0.36
5	15	0.31
5	16	0.39
5	17	-11.38
5	18	-2.41
5	19	0.20

6	0	7.13
6	1	19.59
6	2	8.27
6	3	11.14
6	4	2.44
6	5	2.73
6	6	0.80
6	7	-12.37
6	8	0.78
6	9	0.49
6	10	-12.83
6	11	-2.12
6	12	1.13
6	13	1.09
6	14	-4.28
6	15	2.40
6	16	2.11
6	17	-8.35
6	18	1.70
6	19	2.39

7	0	9.61
7	1	12.51
7	2	3.56
7	3	-1.69
7	4	1.00
7	5	1.59
7	6	-2.64
7	7	1.08
7	8	-10.01
7	9	-0.33
7	10	3.75
7	11	-9.57
7	12	2.43
7	13	3.68
7	14	-5.04
7	15	3.57
7	16	3.33
7	17	-2.46
7	18	3.88
7	19	3.70

8	0	15.41
8	1	6.79
8	2	-9.30
8	3	0.74
8	4	0.79
8	5	2.06
8	6	3.97
8	7	-5.29
8	8	4.85
8	9	5.08
8	10	3.22
8	11	4.46
8	12	-1.39
8	13	5.34
8	14	4.66
8	15	3.50
8	16	4.95
8	17	0.59
8	18	4.75
8	19	4.54

9	0	12.74
9	1	2.35
9	2	1.92
9	3	1.87
9	4	2.49
9	5	6.31
9	6	-1.19
9	7	5.87
9	8	-0.64
9	9	6.65
9	10	-3.53
9	11	6.37
9	12	6.45
9	13	5.63
9	14	5.78
9	15	4.13
9	16	6.01
9	17	2.05
9	18	5.55
9	19	0.71

10	0	11.33
10	1	6.76
10	2	2.34
10	3	-2.86
10	4	7.49
10	5	1.50
10	6	6.41
10	7	2.12
10	8	7.96
10	9	4.16
10	10	7.20
10	11	3.90
10	12	7.32
10	13	3.46
10	14	6.91
10	15	3.95
10	16	6.58
10	17	4.23
10	18	6.36
10	19	4.20

11	0	4.94
11	1	6.53
11	2	-6.62
11	3	7.57
11	4	-0.17
11	5	8.35
11	6	2.98
11	7	9.03
11	8	6.63
11	9	7.96
11	10	7.98
11	11	8.34
11	12	7.85
11	13	4.04
11	14	7.71
11	15	4.55
11	16	7.08
11	17	5.27
11	18	6.92
11	19	6.31

12	0	-1.62
12	1	4.34
12	2	2.01
12	3	9.20
12	4	10.53
12	5	0.34
