Bd        CG/HBCS        CG/ScaleStar
1        20.62        -5.07
2        29.99        0.19
3        33.20        -0.14
4        25.07        0.08
5        4.70        -0.61
6        0.77        4.27
7        2.04        9.56
8        3.97        14.37
9        4.40        17.56
10        6.41        20.67
11        7.96        22.82
12        9.61        25.00
13        10.58        26.56
14        11.59        28.17
15        12.17        29.35
16        12.78        30.55
17        13.03        31.52
18        13.35        32.47
19        13.53        33.27
20        1.66        34.03
