Bd        CG/HBCS        CG/ScaleStar
1        17.44        0.60
2        21.90        0.14
3        14.71        0.35
4        22.15        0.49
5        20.74        0.12
6        10.56        0.12
7        0.75        1.46
8        2.03        6.08
9        4.48        10.02
10        7.39        13.99
11        8.78        16.65
12        10.12        19.10
13        11.21        21.28
14        11.50        22.94
15        12.03        24.72
16        12.34        26.03
17        12.89        27.19
18        13.84        28.44
19        14.47        29.42
20        1.21        30.39
