Bd        CG/HBCS        CG/ScaleStar
1        33.19        0.08
2        36.47        -0.55
3        31.24        -0.45
4        17.21        7.33
5        0.64        14.94
6        1.13        20.19
7        2.75        23.69
8        4.84        26.65
9        6.24        29.02
10        7.15        30.90
11        7.67        32.40
12        8.19        33.64
13        8.92        34.77
14        9.46        35.75
15        9.86        36.59
16        10.11        37.28
17        10.27        37.94
18        10.45        38.51
19        10.69        39.05
20        0.43        39.51
