        CG/HBCS        CG/ScaleStar
1        43.60        11.26
2        43.72        3.09
3        40.17        4.48
4        31.43        15.81
5        4.57        22.30
6        -1.83        26.03
7        -0.26        29.31
8        2.73        32.07
9        4.97        33.88
10        6.47        36.04
11        5.84        36.62
12        6.38        37.72
13        6.00        38.65
14        6.82        39.80
15        7.75        40.86
16        7.83        41.29
17        8.20        41.82
18        8.82        42.51
19        8.26        42.67
20        0.00        42.79
