        CG/HBCS        CG/ScaleStar
1        43.12        6.82
2        49.60        2.41
3        37.05        6.00
4        27.61        16.12
5        10.75        21.73
6        -2.20        25.30
7        1.04        29.38
8        1.78        31.62
9        2.41        33.77
10        3.90        35.94
11        4.58        37.06
12        4.69        37.73
13        6.62        39.26
14        7.05        39.95
15        8.31        40.82
16        7.87        41.43
17        8.38        42.07
18        8.44        42.27
19        8.40        42.78
20        0.00        42.97
