        CG/HBCS        CG/ScaleStar
1        40.77        6.90
2        43.35        0.40
3        37.55        3.77
4        25.55        13.80
5        11.72        20.54
6        -1.10        24.90
7        0.14        28.03
8        1.37        30.72
9        2.94        32.92
10        4.67        34.77
11        5.39        35.69
12        6.38        36.76
13        7.24        38.21
14        7.39        38.75
15        8.08        39.79
16        8.26        40.26
17        8.51        40.86
18        8.82        41.27
19        8.98        41.62
20        8.59        41.78
