        CG/HBCS        CG/ScaleStar
1        32.45        0.10
2        35.66        0.34
3        28.62        0.07
4        9.28        -0.78
5        12.54        7.76
6        0.34        14.05
7        2.76        18.30
8        5.09        21.99
9        6.20        24.84
10        6.86        26.87
11        7.89        28.81
12        8.80        30.37
13        9.91        31.71
14        10.73        32.90
15        11.19        33.76
16        11.34        34.75
17        11.32        35.53
18        11.65        36.20
19        11.88        36.89
20        0.00        37.46
