        CG/HBCS        CG/ScaleStar
1        32.68        0.11
2        35.94        -0.67
3        31.41        -0.67
4        16.82        7.35
5        0.08        14.96
6        1.29        20.21
7        2.54        23.68
8        5.03        26.66
9        6.24        29.03
10        6.91        30.89
11        7.62        32.37
12        8.38        33.66
13        8.87        34.74
14        9.54        35.71
15        9.74        36.59
16        10.14        37.28
17        10.23        37.94
18        10.51        38.50
19        10.73        39.05
20        0.00        39.50
