        CG/HBCS        CG/ScaleStar
1        22.85        -4.59
2        28.65        0.04
3        35.37        0.53
4        27.48        0.11
5        1.71        -0.64
6        1.49        4.18
7        2.08        9.71
8        4.33        14.28
9        4.58        17.61
10        6.13        20.53
11        8.02        22.74
12        9.79        24.93
13        10.38        26.52
14        12.08        28.10
15        12.19        29.33
16        12.59        30.51
17        13.21        31.45
18        13.54        32.43
19        13.55        33.21
20        0.00        33.97
