        CG/HBCS        CG/ScaleStar
1        29.63        -2.28
2        33.43        0.28
3        35.14        -0.61
4        17.66        0.15
5        2.29        1.62
6        0.30        7.97
7        1.64        13.49
8        3.42        17.37
9        5.87        20.61
10        7.39        23.05
11        9.00        25.32
12        10.05        27.05
13        10.91        28.66
14        10.53        29.92
15        11.14        31.19
16        11.74        32.18
17        12.29        33.14
18        12.72        33.96
19        13.14        34.68
20        0.00        35.37
