        CG/HBCS        CG/ScaleStar
1        32.09        0.05
2        33.68        0.24
3        28.50        -0.02
4        11.29        -1.09
5        11.16        7.55
6        0.41        13.85
7        3.15        17.93
8        5.11        21.83
9        6.72        24.66
10        6.64        26.73
11        7.96        28.69
12        9.02        30.23
13        9.79        31.56
14        10.71        32.77
15        10.71        33.67
16        10.96        34.65
17        11.20        35.42
18        11.58        36.12
19        11.85        36.78
20        0.00        37.36
