        CG/HBCS        CG/ScaleStar
1        33.27        0.05
2        35.50        -0.25
3        11.44        -21.61
4        20.37        4.82
5        0.15        13.02
6        0.31        16.96
7        -6.68        14.15
8        4.49        25.31
9        6.46        27.81
10        6.30        28.83
11        8.25        31.30
12        8.75        32.71
13        9.27        33.81
14        8.51        34.16
15        10.13        35.73
16        10.58        36.52
17        10.47        36.85
18        10.80        37.62
19        11.47        38.36
20        0.00        38.86
