        CG/HBCS        CG/ScaleStar
1        13.60        1.31
2        24.46        0.53
3        22.46        0.21
4        9.24        1.55
5        7.08        0.23
6        12.38        0.02
7        4.17        -0.20
8        6.05        0.95
9        2.69        1.41
10        0.66        2.80
11        3.14        6.29
12        5.41        9.74
13        8.17        12.66
14        8.91        14.67
15        10.71        16.69
16        11.87        18.37
17        13.89        20.24
18        14.21        21.60
19        15.61        22.89
20        0.00        24.21
