        CG/HBCS        CG/ScaleStar
1        41.71        0.17
2        40.06        -0.40
3        28.03        9.74
4        1.77        19.08
5        0.22        24.72
6        2.21        28.40
7        3.58        31.13
8        4.49        33.22
9        5.36        34.81
10        5.74        36.13
11        6.35        37.23
12        6.88        38.17
13        7.21        38.98
14        7.35        39.63
15        7.64        40.21
16        7.87        40.71
17        8.06        41.18
18        8.25        41.58
19        8.48        41.96
20        0.00        42.28
