        CG/HBCS        CG/ScaleStar
1        32.48        0.04
2        39.05        -0.08
3        32.18        -1.04
4        10.73        9.46
5        0.78        16.85
6        1.11        21.84
7        3.57        25.44
8        5.10        28.19
9        5.62        30.13
10        6.76        31.94
11        7.57        33.46
12        8.33        34.67
13        8.66        35.69
14        9.31        36.60
15        9.46        37.38
16        9.58        38.06
17        9.93        38.65
18        10.42        39.22
19        10.50        39.73
20        10.41        40.14
