        CG/HBCS        CG/ScaleStar
1        12.17        0.13
2        23.36        0.00
3        14.98        0.14
4        8.31        0.51
5        -0.46        -0.46
6        10.66        0.45
7        8.54        0.17
8        1.42        0.66
9        2.16        0.00
10        0.93        2.70
11        4.08        6.34
12        6.25        9.47
13        8.95        12.61
14        9.78        14.64
15        10.99        16.71
16        11.74        18.48
17        13.75        20.34
18        13.95        21.62
19        15.41        22.95
20        0.00        24.29
