        CG/HBCS        CG/ScaleStar
1        32.37        -0.37
2        34.28        0.27
3        28.74        0.03
4        11.42        0.04
5        6.48        4.68
6        1.20        10.94
7        1.92        16.07
8        4.40        19.91
9        6.31        22.65
10        7.47        25.24
11        8.14        26.97
12        9.33        28.89
13        9.86        30.24
14        10.65        31.51
15        10.89        32.65
16        11.76        33.55
17        12.44        34.45
18        12.96        35.22
19        12.72        35.90
20        0.00        36.54
