        CG/HBCS        CG/ScaleStar
1        38.43        0.11
2        41.68        0.04
3        29.05        7.09
4        11.93        16.63
5        0.26        22.48
6        1.79        26.55
7        3.58        29.49
8        4.89        31.76
9        5.38        33.53
10        6.19        35.00
11        6.97        36.22
12        7.32        37.16
13        7.88        38.04
14        7.88        38.77
15        8.29        39.43
16        8.38        39.99
17        8.67        40.49
18        8.75        40.95
19        8.93        41.36
20        0.00        41.71
