        CG/HBCS        CG/ScaleStar
1        34.93        0.18
2        40.73        -0.06
3        29.91        3.53
4        13.21        13.72
5        1.09        20.12
6        2.10        24.53
7        3.23        27.64
8        4.39        30.07
9        5.52        32.00
10        6.57        33.65
11        6.94        34.99
12        7.74        36.06
13        8.13        36.97
14        8.41        37.78
15        8.80        38.49
16        9.05        39.13
17        9.12        39.68
18        9.23        40.17
19        9.46        40.63
20        0.00        41.00
