        CG/HBCS        CG/ScaleStar
1        36.45        0.02
2        41.19        0.06
3        27.42        5.15
4        11.48        15.06
5        0.32        21.26
6        2.01        25.52
7        3.21        28.60
8        5.02        30.97
9        5.97        32.85
10        6.68        34.33
11        7.08        35.57
12        7.64        36.62
13        8.02        37.51
14        8.47        38.26
15        8.54        38.94
16        8.80        39.52
17        8.99        40.04
18        9.23        40.50
19        9.28        40.92
20        0.00        41.28
