        CG/HBCS        CG/ScaleStar
1        32.79        0.08
2        38.27        -0.00
3        31.85        -1.11
4        10.00        9.35
5        0.32        16.70
6        1.08        21.60
7        3.74        25.26
8        5.35        27.99
9        6.21        30.04
10        6.93        31.82
11        7.69        33.29
12        8.25        34.51
13        8.99        35.58
14        9.35        36.49
15        9.22        37.22
16        9.42        37.91
17        9.76        38.51
18        10.29        39.05
19        10.51        39.58
20        0.00        40.00
