        CG/HBCS        CG/ScaleStar
1        32.04        0.04
2        29.18        -8.41
3        1.98        -28.58
4        15.11        2.39
5        3.00        7.93
6        -9.46        6.85
7        3.75        20.50
8        3.99        22.80
9        -2.07        20.27
10        7.33        28.38
11        8.39        30.03
12        3.27        27.04
13        9.82        32.82
14        10.47        33.89
15        9.57        34.08
16        10.71        35.65
17        11.16        36.38
18        9.34        35.38
19        11.70        37.61
20        0.00        38.15
