        CG/HBCS        CG/ScaleStar
1        29.70        -2.28
2        34.51        0.21
3        33.91        -1.38
4        21.20        0.15
5        5.31        0.99
6        0.17        7.94
7        0.79        13.28
8        3.46        17.09
9        5.82        20.48
10        7.47        22.94
11        8.66        25.31
12        9.88        26.92
13        10.67        28.63
14        11.34        29.91
15        11.29        31.15
16        11.65        32.13
17        11.94        33.08
18        12.51        33.90
19        12.46        34.69
20        0.00        35.36
