        CG/HBCS        CG/ScaleStar
1        32.66        0.15
2        36.51        0.38
3        29.21        -0.02
4        18.13        4.76
5        0.21        12.95
6        1.44        17.97
7        3.24        22.15
8        4.78        25.31
9        6.01        27.61
10        7.11        29.57
11        8.06        31.27
12        8.67        32.66
13        8.85        33.74
14        9.65        34.80
15        10.26        35.66
16        10.71        36.47
17        10.77        37.13
18        11.04        37.75
19        11.05        38.34
20        0.00        38.84
